Memory Length,4000,
Trigger Level,1.51900e+00,
Source,CH2,
Probe,1.0X,
Vertical Units,V,
Vertical Scale,2.00000e+00,
Vertical Position,-1.92000e+00,
Horizontal Units,S,
Horizontal Scale,1.00000e-02,
Horizontal Position,3.5200000e-02,
Horizontal Mode,Main,
Sampling Period,2.00000e-04,
Firmware,V1.14,
Time, ,
Mode,Fast,
Waveform Data,
43,
43,
43,
43,
43,
42,
42,
43,
43,
44,
44,
43,
43,
42,
42,
44,
44,
44,
44,
42,
42,
44,
44,
43,
43,
42,
42,
44,
44,
43,
43,
43,
43,
43,
43,
43,
43,
43,
43,
43,
43,
44,
44,
42,
42,
44,
44,
43,
43,
43,
43,
43,
43,
43,
43,
44,
44,
43,
43,
42,
42,
44,
44,
42,
42,
44,
44,
42,
42,
44,
44,
43,
43,
42,
42,
44,
44,
43,
43,
42,
42,
42,
42,
43,
43,
42,
42,
43,
43,
44,
44,
44,
44,
42,
42,
42,
42,
44,
44,
42,
42,
44,
44,
42,
42,
42,
42,
43,
43,
44,
44,
42,
42,
42,
42,
43,
43,
43,
43,
44,
44,
43,
43,
44,
44,
44,
44,
43,
43,
42,
42,
43,
43,
43,
43,
43,
43,
44,
44,
44,
44,
42,
42,
44,
44,
43,
43,
43,
43,
43,
43,
42,
42,
43,
43,
44,
44,
43,
43,
44,
44,
43,
43,
43,
43,
43,
43,
44,
44,
43,
43,
43,
43,
44,
44,
43,
43,
42,
42,
43,
43,
42,
42,
43,
43,
43,
43,
43,
43,
42,
42,
44,
44,
44,
44,
44,
44,
42,
42,
44,
44,
43,
43,
43,
43,
43,
43,
42,
42,
43,
43,
43,
43,
43,
43,
43,
43,
43,
43,
42,
42,
42,
42,
43,
43,
44,
44,
43,
43,
44,
44,
42,
42,
42,
42,
43,
43,
44,
44,
43,
43,
42,
42,
43,
43,
43,
43,
43,
43,
42,
42,
44,
44,
44,
44,
44,
44,
43,
43,
43,
43,
43,
43,
43,
43,
43,
43,
43,
43,
44,
44,
45,
45,
42,
42,
42,
42,
44,
44,
42,
42,
43,
43,
43,
43,
44,
44,
43,
43,
43,
43,
42,
42,
42,
42,
42,
42,
43,
43,
43,
43,
44,
44,
44,
44,
42,
42,
44,
44,
43,
43,
44,
44,
43,
43,
44,
44,
42,
42,
42,
42,
43,
43,
43,
43,
43,
43,
44,
44,
43,
43,
43,
43,
44,
44,
43,
43,
42,
42,
42,
42,
42,
42,
43,
43,
43,
43,
44,
44,
42,
42,
43,
43,
44,
44,
43,
43,
42,
42,
44,
44,
43,
43,
43,
43,
44,
44,
43,
43,
43,
43,
44,
44,
43,
43,
42,
42,
42,
42,
42,
42,
42,
42,
42,
42,
43,
43,
43,
43,
43,
43,
42,
42,
42,
42,
42,
42,
42,
42,
44,
44,
44,
44,
43,
43,
42,
42,
43,
43,
42,
42,
42,
42,
43,
43,
42,
42,
42,
42,
43,
43,
43,
43,
44,
44,
42,
42,
42,
42,
42,
42,
42,
42,
42,
42,
43,
43,
43,
43,
44,
44,
42,
42,
43,
43,
42,
42,
42,
42,
44,
44,
42,
42,
42,
42,
43,
43,
44,
44,
